replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
3,180,190,3,46.379,3.88116,4.00454,24.0272
3,180,512,3,71.6454,2.51255,2.642,36.2693
3,200,0,3,34.508,5.82181,3.37941,4.86635
3,200,190,3,46.9195,4.26283,4.09474,24.5684
3,200,512,3,62.3085,3.5397,1.38943,19.0741
3,250,0,3,39.9801,6.25503,5.90829,8.50794
3,250,190,3,49.7953,5.64569,3.10899,18.6539
3,250,512,3,162.44,1.53908,1.89708,26.0431
3,300,0,3,43.1697,6.94944,6.60063,9.50491
3,300,190,3,58.1478,5.15934,4.93781,29.6269
3,300,512,3,126.662,2.36887,2.52942,34.7239
3,350,0,3,49.5693,7.06092,6.99597,10.0742
3,350,190,3,66.3578,5.27745,4.72624,28.3574
3,350,512,3,143.684,2.43602,2.54316,34.9125
3,400,0,3,53.6527,7.50316,7.4154,10.6782
3,400,190,3,76.2615,5.24516,5.15269,30.9161
3,400,512,3,183.761,2.17676,1.92254,26.3927
1,1,0,4,10.0163,0.0998397,0.0583635,0.0280145
1,1,190,4,11.3933,0.0877719,0.0539787,0.107957
1,1,512,4,12.98,0.0770569,0,0
1,20,0,4,10.9227,1.83135,0.917272,0.440291
1,20,190,4,12.1692,1.64386,0.816936,1.63387
1,20,512,4,13.7393,1.45593,0.721224,3.30032
1,50,0,4,16.2661,3.0744,2.53526,1.21692
1,50,190,4,17.9298,2.78894,2.29857,4.59714
1,50,512,4,19.9169,2.5107,2.07522,9.49621
1,100,0,4,19.8231,5.04482,4.79075,2.29956
1,100,190,4,21.6143,4.62715,4.36902,8.73805
1,100,512,4,24.2699,4.1206,3.93717,18.0165
1,150,0,4,20.9328,7.16647,6.62094,3.17805
1,150,190,4,22.5176,6.66334,6.14553,12.2911
1,150,512,4,26.3014,5.70339,5.31119,24.304
1,180,0,4,22.3674,8.04869,7.6548,3.67431
1,180,190,4,23.908,7.52928,7.08609,14.1722
1,180,512,4,28.5403,6.30746,6.00706,27.4883
1,200,0,4,23.4688,8.52211,8.2555,3.96264
1,200,190,4,25.1057,7.96952,7.64867,15.2973
1,200,512,4,30.4031,6.57846,6.37248,29.1605
1,250,0,4,25.8853,9.6591,8.93456,4.28859
1,250,190,4,27.2923,9.16314,8.54053,17.0811
1,250,512,4,34.7684,7.19054,6.83087,31.2581
1,300,0,4,30.8768,9.71951,9.30076,4.46437
1,300,190,4,31.6871,9.46775,9.17071,18.3414
1,300,512,4,41.0163,7.31431,7.14958,32.7165
1,350,0,4,36.5981,9.56383,9.40071,4.51234
1,350,190,4,35.4816,9.86704,9.50092,19.0018
1,350,512,4,46.4456,7.53629,7.27216,33.2774
1,400,0,4,40.3481,9.91499,9.31291,4.4702
1,400,190,4,39.8787,10.0313,9.58821,19.1764
1,400,512,4,53.4822,7.48067,7.34266,33.6
2,1,0,4,20.424,0.0489644,0,0
2,1,190,4,202.612,0.00493732,0,0
2,1,512,4,246.188,0.00406271,0,0
2,20,0,4,22.6867,0.881609,0.787876,0.756361
